,Students age,Gender,Relationship status,Type of University,Father's education,Mother's education,Father's Occupation,Mother's Occupation,Family Income(monthly),Number of Siblings,Parental status,Previous School Location,Previous College Location,SSC result,HSC result,Scholarship in SSC,Scholarship in HSC,Accommodation,Weekly Study Time at home,Reading Scientific books/articles/journals,Reading Non-Scientific books/articles/journals,Attendance in class,Mid-Term Exam Preparation,Taking Exam Preparation,Taking Class Note,Any Co-curricular activity,Attend any Seminar related to department,Any part-time job,Smoking,Sports/ Exercise,Undergraduate 1st semester result (CGPA/GPA out of 4)
70,1,1,0,0,4,3,3,4,4,1,0,2,2,3,3,0,1,1,1,0,0,2,1,1,2,0,0,0,0,1,5
71,1,0,0,0,3,2,2,4,2,1,0,2,2,3,3,1,0,0,5,0,0,2,2,1,1,1,1,3,0,1,5
72,2,0,0,0,3,2,3,4,3,3,0,2,2,3,3,1,0,1,1,1,1,2,2,1,1,1,1,0,0,1,5
73,1,0,1,1,3,2,0,4,0,0,0,2,2,3,2,0,0,2,1,0,1,1,0,2,1,0,1,0,1,2,5
74,1,1,0,0,0,1,3,4,1,2,0,0,2,3,3,0,1,1,2,1,0,2,1,2,1,1,0,0,0,1,5
75,1,1,0,0,4,3,0,4,1,0,0,2,2,3,3,0,1,1,1,1,1,2,1,1,2,1,0,1,0,0,5
76,1,0,0,0,3,3,2,0,1,1,0,1,1,3,3,1,0,1,0,0,0,2,2,1,1,0,1,0,0,2,7
77,1,0,0,0,0,0,1,4,0,3,0,0,2,3,3,1,1,1,5,0,1,2,1,1,1,1,0,1,0,1,7
78,1,0,0,0,3,2,0,4,2,1,0,0,0,3,3,0,0,1,5,1,1,2,1,2,2,1,1,1,0,2,6
79,1,1,1,0,2,2,0,4,1,1,0,1,1,3,3,0,0,1,1,1,1,2,1,1,2,1,1,3,0,0,5
80,1,1,2,0,4,2,3,4,2,3,0,2,1,3,3,0,1,1,1,0,1,2,2,1,2,0,0,1,0,1,5
81,1,1,1,0,3,2,4,4,0,3,0,2,2,3,3,0,1,1,2,1,1,2,1,1,2,1,0,1,0,2,3
82,1,0,0,0,3,3,0,4,0,1,0,2,2,3,3,1,0,1,0,1,1,2,1,1,1,0,1,0,0,1,7
83,2,0,0,0,0,0,2,4,0,2,0,2,2,3,3,1,1,1,0,1,1,2,2,1,1,1,1,0,0,1,5
84,2,0,0,0,3,3,3,4,1,0,0,1,1,3,3,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,6
85,0,1,0,0,4,5,3,1,4,0,0,2,1,3,3,0,1,1,1,1,1,2,1,1,2,1,0,0,0,1,4
86,1,0,0,0,2,1,3,4,1,3,0,0,1,3,3,0,1,1,2,0,1,2,2,1,1,1,1,1,0,1,4
87,2,0,0,0,1,2,4,4,1,3,0,1,2,2,2,0,0,1,0,0,1,2,1,1,1,0,0,1,0,1,4
88,1,1,0,1,4,3,4,4,4,3,0,2,2,3,3,0,0,0,1,1,1,2,1,1,1,0,1,0,0,1,7
89,2,1,0,0,4,2,3,4,2,1,0,1,1,3,3,0,0,2,1,0,0,1,1,1,0,0,0,3,0,1,6
